"rating_vehicle_number";"rating_driveability";"rating_speed";"rating_vehicle_cleanliness";"rating_comment";"create_time"
"1133";"0";"1";"0";"Beveik visi 2-ojo maršruto troleibusai iš pirmos stotelės išvažiuoja 2 min per anksti. tai kam grafikai? gal tada reikėtų prailginti maršruto trukmę, o ne kompensuoti išvažiuojant anksčiau. konkrečiai galiu paminėti 20:09 turėjusį išvažiuoti, kuris pajidėjo 20:07, o 20:13 jau buvo antakalnio stotelėje, nors turėjo būti 20:16. suprantu, kad kartais galima skubėti, bet grafikai tam ir yra, kad žmonės planuotų laiką. gražaus vakaro";"2017-04-05 20:13:34"
"962";"2";"2";"5";"vairuotoja rarbo metu buvo užsiėmusi pašaliniais darbais. todėl nebuvo atidi kelyje, keletą kartų sukėlė avaringas situacijas. taip pat važiavo labai lėtai";"2017-04-05 19:53:38"
"947";"1";"0";"0";"nuo lukiskiu iki dailes galerijos bent 3 avarines situacijos-staigus stabdymas, signalizavimas, keleiviai nedaug truko kad pargriutu.";"2017-04-05 17:13:39"
"9308";"2";"5";"2";"";"2017-04-05 17:04:42"
"935";"5";"5";"4";"pavalyti";"2017-04-05 16:41:15"
"498";"3";"5";"2";"Turetu buti geda tokius autobusus i gatve leisti, visiska seniena, variklis kriokia baisiausiai, nuolatine susvilusios gumos smarve salone. Negana to, iki keliones galo likus 10 min, nebeuzsidare priekines durys (taip ir vaziavom su pravirom puciant skersvejams). Galiausiai justiniskiu stoteleje vairuotojas pasake, kad autobusas toliau nebevaziuos... ir dar stebites, kodel zmones viesuoju transportu nenori vazineti...";"2017-04-05 16:17:59"
"813";"5";"4";"3";"turi buti daugiau sedyniu";"2017-04-05 14:05:37"
"2753221608";"5";"0";"0";"";"2017-04-05 13:16:28"
"950";"5";"5";"4";"pavalyti";"2017-04-05 12:45:31"
"187";"4";"3";"2";"labai dreba";"2017-04-05 10:10:46"
"1653";"1";"5";"3";"Antra diena is eiles, vakar is darbo siandien i darba, tenka vaziuoti is vairavimo manieros su ta pacia vairuotoja. Labai staigiai akseleruoja daznai staigiai stabdo, keliones metu buvo avarine situacija. Pati vairuotoja agresyvi, girdimi keiksmai";"2017-04-05 08:58:24"
"2120";"5";"5";"4";"";"2017-04-05 08:48:11"
"947";"0";"1";"0";"velavo 5 min. stotelete turejo buti 8:35. buvo 8:40. kamsciu nebuvo";"2017-04-05 08:41:21"
"1672";"3";"4";"4";"Uždarinėja duris nors žmonės lipa į transporto priemonę, vos neprispaudė";"2017-04-05 08:33:20"
"526";"5";"5";"3";"";"2017-04-05 07:52:33"
"1653";"1";"5";"3";"";"2017-04-04 18:44:18"
"982";"4";"1";"4";"pagal tvarkarasti kraziu stoteleje autobusas turejo buti 17:35. atvyko 17:44. didelio kamscio nebuvo";"2017-04-04 17:46:01"
"177";"5";"5";"5";"Linkiu, kad visi VVT vairuotojai būtų tokie, kaip šio autobuso vairuotojas!";"2017-04-04 17:27:40"
"708";"5";"5";"5";"sistema neveikė, vairuotojas apie tai informavo garsiakalbiu ir pranešė, kai galėjome pasižymėti bilietus. taip ir turėtų būti!!!";"2017-04-04 16:47:57"
"788";"5";"5";"2";"nelabai svaru";"2017-04-04 13:06:58"
"190";"5";"4";"2";"isvalyti";"2017-04-04 12:01:14"
"079";"2";"1";"1";"Kaip matau sitam marsrutui nera iprasta laikytis grafiko. Kada nori tada ir atvaziuoja...";"2017-04-04 09:31:07"
"593";"3";"1";"5";"I bernardinu kapiniu stotele atvaziavo 9.26, nors turejo atvykti 9.19";"2017-04-04 09:28:25"
"1625";"1";"1";"3";"vairavo ir visi griuvinėjo...";"2017-04-04 08:25:04"
"886";"5";"5";"1";"Antra diena is eiles smirdintis benamis autobuso gale.";"2017-04-04 08:21:46"
"549";"5";"5";"5";"prie avarinių išėjimų nėra plaktukų langams išmušt";"2017-04-04 07:59:37"
"2620";"2";"3";"5";"Varuotojas silpnų nervų. Keikėsi ant vairuotojo. 20 sekundžių be perstojimo spaudė garso signalą.";"2017-04-03 18:33:04"
"1702";"1";"4";"1";"Visa kelia trukciojo, net lygiame kelyje, staigiai stabdo.";"2017-04-03 17:22:21"
"2472";"5";"5";"5";"labai geras transportas";"2017-04-03 17:07:12"
"16";"1";"1";"1";"";"2017-04-03 17:04:24"
"777";"3";"1";"3";"Velavau i vairavimo paskaita ";"2017-04-03 15:46:44"
"2694";"4";"5";"4";"";"2017-04-03 14:40:55"
"1672";"2";"5";"0";"isvalyti ir praiti technine abziura nes labai krato ir nesvarus, burzge.";"2017-04-03 14:11:08"
"1654";"5";"5";"4";"Labai gerai : )";"2017-04-03 13:57:14"
"944";"5";"5";"2";"gali vaziuoti ir ne kas valanda";"2017-04-03 13:22:49"
"449";"5";"5";"5";"draugiškas vairuotojas :)";"2017-04-03 12:47:00"
"5016";"4";"4";"4";"Nemandagus vairuotojas, sumelavo senjorui apie bilieto kaina, neisleidineja pro priekines duris, burba.";"2017-04-03 12:15:41"
"976";"5";"5";"5";"";"2017-04-03 08:39:21"
"962";"4";"1";"4";"Veluoja 7min ir taip kiekviena ryta, velavimo laikai skiriasi";"2017-04-03 08:37:02"
"763";"3";"1";"4";"";"2017-04-03 08:29:38"
"1531";"5";"4";"3";"Smagu kad važiavo su mašinų srautu, o ne vilkosi.";"2017-04-03 06:58:39"
"153";"4";"4";"3";"Patiko kad troleibusas ne vilkosi, o važiavo su mašinų srautu";"2017-04-03 06:54:58"
"972";"5";"5";"5";"";"2017-04-02 22:54:14"
"1662";"5";"3";"1";"Troleibuso salonas yra dulkėtas, nešvarus ir surudyjes";"2017-04-02 18:18:31"
"2712";"5";"5";"1";"Troleibusui stovint baisiai cypia kazkas";"2017-04-02 16:42:54"
"2621";"4";"4";"1";"";"2017-04-02 16:31:21"
"951";"5";"5";"5";"chamiškas vairuotojo elgesys. nekorektiški komentarai keleivių adresu.";"2017-04-02 15:09:07"
"951";"5";"5";"1";"";"2017-04-02 15:02:27"
"594";"5";"5";"5";"Paklausus marsrutas. Linkime toliau vystyti jo infrastruktura.";"2017-04-02 12:44:38"
"506";"2";"5";"5";"Greit pajudejo is stoteles, ko pasekoje susitrenkiau ranka";"2017-04-02 11:26:39"
"506";"5";"5";"5";"Lanai Malibu buvo vaziuoti";"2017-04-02 10:29:39"
"939";"1";"5";"5";"Vairuotojas - kaip psichas lenktynininkas. Vaziavimo saugumas nulinis, stapdo taip, kad vos imanoma issilaikyti!";"2017-04-02 10:02:51"
"198";"5";"5";"5";"Sekmadienio rytui autobusas per mazas";"2017-04-02 09:51:48"
"781";"5";"5";"5";"Vaziavau balandzio 1 vakare apie 20.00 is Jeruzales i Olandu gatve. Labai malonus, mandagus ir rupestingas vairuotojas, retai toks pasitaiko.";"2017-04-01 20:06:51"
"852";"1";"1";"1";"šis autobusas yra kritinės būklės. Jis vos važiuoja. Gal nereiktų leisti tokių išvis.

Gaila net vairuotojo";"2017-04-01 13:59:12"
"2441";"2";"1";"1";"";"2017-04-01 11:59:33"
"512";"1";"1";"1";"Sajudzio kelias. Nesustojo stotelej ir nuvaziavo!";"2017-03-31 21:40:41"
"1531";"1";"2";"1";"nestojo Kudirkos stoteleje, nuvaziavo toliau ir sustojo neleistinoje vietoje";"2017-03-31 19:47:31"
"2";"1";"1";"1";"";"2017-03-31 18:32:12"
"9309";"3";"3";"3";"niekada gyvenime nebuvau išvaryta iš sėdimos vietos vairuotojo kai kalbėjau telefonu. Kas per nesamonė kad autobuse negaliu kalbėti telefonu kur noriu. Aš vairuotojo nekalbinu. Jeigu dirba savo darbą tai tegul dirba, o ne klausosi blaškydamasis kas kur kalba. Šioje vietoje buvo pažeistas mano kaip keleivės saugumas, nes rodydamas kad eičiau iš čia ir sukinėdamasis galėjo padaryti avariją ir sužaloti gyvybę.";"2017-03-31 17:38:50"
"1616";"1";"1";"1";"demonstratyviai uždarė duris prieš atbėgant. 17:37 link centro. kareivių stotelė";"2017-03-31 17:38:06"
"9314";"5";"5";"5";"";"2017-03-31 17:00:18"
"965";"1";"5";"5";"Piktas vairuotojas, šaukia piktai ant kitų vairuotoju. Stabdo šiurkščiai";"2017-03-31 15:52:47"
"1457";"1";"5";"5";"chuliganiskas vairavimas. į olandų žiedą važiuoja nepaisant ženklinimo!!";"2017-03-31 14:31:16"
"192";"5";"5";"5";"Atvaziavo laiku!";"2017-03-31 14:00:01"
"1509";"1";"3";"1";"Sveiki, troleibuso vairuotojas labai nepagarbiai bendrauja su keleiviais, grubiai elgiasi, toks jausmas į darbą važiuoja nepatenkintas gyvenimu. Manau tokiam vairuotojui turi būti vedami kursai, kaip gražiai bendrauti su žmonėmis";"2017-03-31 13:02:48"
"757";"5";"5";"1";"Galines sedynes tiesiog baisios";"2017-03-31 12:13:41"
"060";"5";"5";"3";"Ne visi veikia Vilniečio kortelės skaitytuvai. Įlipus per galines duris skaitytuvas neveikia, reikia eiti iki autobuso vidurio kai transporto priemonė jau yra pradėjusi važiuoti.";"2017-03-31 11:27:10"
"890";"4";"2";"4";"Siandiena veluoja 10 min.";"2017-03-31 08:49:02"
"1115";"1";"4";"3";"kartais staigiai stabdo jautiesi kaip ne zmones veza....";"2017-03-31 08:37:22"
"787";"5";"1";"4";"Veluoja minimum 10min. ir tai normalu?";"2017-03-31 08:07:36"
"2611";"5";"5";"5";"";"2017-03-31 08:00:24"
"943";"5";"1";"3";"kodel 10min veluojama?";"2017-03-31 07:47:45"
"936";"2";"1";"4";"";"2017-03-30 18:57:18"
"1106";"5";"5";"4";"Neveikia m ticket programele,negalima nusipirkti bilietu";"2017-03-30 18:30:19"
"428";"1";"3";"3";"Tokiu greiciu vaziuoti, priverciant zmones is pradziu sypsotis, veliau issigasti, net ir labai veluojant, nederetu. ""Ant posukio"", laikantis abiem rankom, issilaikyti vis viena sunku :) stabdant isikibkite dar tvirciau!";"2017-03-30 18:03:55"
"1497";"1";"4";"3";"vaziuoja taip greitai, kad vaziuoti stovint ir stipriai laikantis uz tureklo, tiesiog neimanoma. bandydamas aplenkti transporto kamsti ir ivaziuoti i stotele, vairuotojas tiesiog vaziavo per saligatvio borteli";"2017-03-30 17:45:29"
"1123";"1";"4";"5";"Lipant į troleibusą, uždarė duris prieš nosį, o pastuksenus atidarė, ir lipant į troleibusą vėl uždarė duris ir prispaudė.";"2017-03-30 17:03:47"
"498";"4";"5";"3";"";"2017-03-30 16:53:41"
"751";"5";"5";"5";"Nuostabi vairuotoja!!!!";"2017-03-30 15:36:33"
"1587";"5";"5";"5";"";"2017-03-30 15:12:49"
"981";"5";"5";"4";"Labai atsakingas, laiku atvažiuojantis, jaunas ir gražus jūsų vairuotojas vairavęs 2017.03.30 nuo 14h. :)";"2017-03-30 14:03:23"
"1635";"5";"5";"5";"Super";"2017-03-30 13:38:09"
"1635";"5";"5";"5";"";"2017-03-30 13:37:30"
"1710";"5";"5";"4";"Malonu vaziuoti";"2017-03-30 12:36:19"
"953";"5";"5";"5";"aciu vairuotojui!";"2017-03-30 12:19:29"
"1630";"5";"5";"5";"Liuks";"2017-03-30 11:59:13"
"051";"0";"3";"4";"vairuotojas vaziavo lyg paseles, tai gazuoja kaip nesveikas, tai stabdo staigiai. tai ne normalu.";"2017-03-29 18:42:14"
"1587";"1";"1";"1";"Troleibusas senas, trata, o vairuotoja nemoka vairuot: trukcioja, stabdo nuolat ir pypena pestiesiems. Kur tai matyta?! 
Vykau is Algirdo st. iki Zaliasis tiltas st. apie 18.00-18.15";"2017-03-29 18:17:24"
"463";"3";"5";"3";"";"2017-03-29 17:37:13"
"9319";"5";"5";"5";"Autobuse neveikia vilniečio kortelės skaitytuvas prie vidurinių-antrų-galinių durų. Veikia tik prie vaitruotojo!";"2017-03-29 17:22:17"
"1513";"1";"0";"0";"nepasirenko saugaus greicio. autobuse zmones griuvo vieni ant kitu";"2017-03-29 16:53:09"
"710";"1";"5";"3";"";"2017-03-29 16:43:37"
"1103";"5";"5";"3";"";"2017-03-29 16:01:32"
"748";"1";"1";"1";"";"2017-03-29 13:28:54"
"057";"5";"5";"5";"greicio ir komfortabilaus vaziavimo santikis puikus. aciu!";"2017-03-29 12:19:15"
"706";"5";"4";"2";"Dalis keleiviu bubo neblaivus ir buvo nemalonu vaziuoti, kvapas nekazka";"2017-03-29 11:50:58"
"785";"5";"5";"5";"Labai geras vairuotojas, ir saugiai vairuoja, ir palaukia stotelėje skubančių (bėgančių) keleivių, neuždaro durų panosėje. Ačiū!";"2017-03-29 08:48:30"
"078";"4";"1";"3";"";"2017-03-29 08:35:16"
"1508";"1";"5";"5";"Vairuotojas pradeda judeti neuzdares duru, neretai net pilnai nesoejuspavojinga.";"2017-03-29 08:08:59"
"2128";"3";"2";"3";"6.46 val. iš Skalvių stotelės išvykusiame troleibuse vairuotojas laukdamas išvykimo laiko sėdėdamas transporto priemonėje rūkė. įlipus į ją buvo koncentruotas rūkalų kvapas.";"2017-03-29 06:52:31"
"1607";"3";"1";"1";"vairuotojas didina greitį labai staiga, stipriai stabdo. troleibuse smirda šlapimu ir benamiais. važiuoja į troleibuso parką nors uždėta kad važiuoja savo maršrutu. klaidina keleivius.";"2017-03-28 19:22:30"
"449";"4";"4";"5";"vairuotoja galėtų necenzūriniais žodžiais su kitų automobilių vairuotojais nesiputot. jie jos negirdi. girdi tik keleiviai";"2017-03-28 17:22:48"
"2490";"2";"5";"3";"Labai piktas ir agresyvus vairuotojas. Pyksta ant keleivių ir nesaugiai atlieka manevrus.";"2017-03-28 17:07:21"
"479";"1";"1";"1";"prastos kvalifikacijos vairuotojas !!!";"2017-03-28 16:33:29"
"449";"4";"1";"5";"vėlavo";"2017-03-28 16:22:37"
"805";"5";"5";"3";"";"2017-03-28 14:12:26"
"749";"1";"1";"1";"Vairuotojas atvaxiavo anksciau ir begus neatidare duru!!!!";"2017-03-28 12:50:24"
"869";"1";"4";"4";"staigiai stabdo, yra galimybe susizaloti autobuse.";"2017-03-28 11:46:56"
"9319";"2";"5";"4";"Nepraleido moters per pereja, nors jinai aiskiai jau ilgai prie jos stovejo ir lauke, kad ja kas nors praleistu.";"2017-03-28 09:42:05"
"150";"5";"5";"2";"Pranesimai per garso koloneles labai garsus ir cirskiantys.";"2017-03-28 08:39:42"
"2693";"5";"5";"5";"";"2017-03-28 08:34:47"
"9108";"5";"5";"5";"Puikus vairuotojas! Palaukia bėgančių I autobusą žmonių, praleidžia kitus eismo dalyvius.";"2017-03-28 08:09:24"
"933";"5";"5";"5";"Super";"2017-03-28 08:08:19"
"792";"5";"5";"4";"";"2017-03-28 07:49:30"
"1625";"1";"1";"3";"vieluoja, tempiasi, trūkčioja. nesinori važiuoti tik niera pasirinkimo";"2017-03-28 07:41:28"
"960";"5";"1";"4";"veluoja smarkiai!!!!!!!";"2017-03-27 17:54:44"
"9302";"5";"5";"5";"";"2017-03-27 17:43:04"
"965";"4";"2";"4";"";"2017-03-27 17:39:21"
"507";"1";"4";"2";"sveiki. vaziuoju 35 autobuso marsrutu 507 masinos nr ir tikrai baisu. kas pirmiausia,tai greitis. tikrai nelogiska lekti,o paskui stoteleje stoveti. toks vairavimas tikrai saugumo jausmo nesuteikia. kitas dalykas tai kad,ozkiniu ziede vairuotojas ruke stovedamas ant laiptelio savo kabinoje,visi dumai i salona. o truko kantrybe tuomet,kai i stotele atleke atidarytomis durimis ir prispaude ilipancia moteri. visko buna,bet yra zmogiskumas ir tiesiog atsiprasau. jei turite papildomu klausymu galite su manimi susisiekti nr. 860002511";"2017-03-27 17:15:14"
"2647";"1";"5";"5";"";"2017-03-27 17:09:02"
"9114";"5";"5";"5";"";"2017-03-27 15:50:22"
"1586";"4";"5";"5";"Viskas gerai : )";"2017-03-27 14:17:26"
"9109";"3";"4";"4";"marsruto 116 (kuris i L.Asanavičiūtės stotele link pasakų parko atvyksta 9:07) vairuotojas kiekvienoje sustojimo vietoje (ne tik stotelese, bet ir prie sviesoforo) atsidaro dureles ir spjaudosi.";"2017-03-27 09:21:57"
"9109";"1";"3";"3";"vairuotojas ne tik kad pavojingai manevravo, bet ir sankryžose sustojęs atsidarydavo duris ir spjaudydavosi";"2017-03-27 09:19:52"
"088";"1";"1";"1";"Nesišaipykit iš keleivių leisdami mažos talpos autobusus 4G maršrute. Rytais net į standartinius autobusus netelpama ir tenka laukti kito. Tikrai nepavyks padidinti keleivių srauto viešuoju transportu jei nesugebėsit užtikrinti pakankamai vietos jiems pervežti.";"2017-03-27 09:09:02"
"978";"5";"5";"4";"Per karsta autobuse";"2017-03-27 08:39:58"
"726";"5";"5";"5";"Super";"2017-03-27 08:00:54"
"226";"5";"5";"5";"nuostabiai vairuoja. malonu važiuoti. tokia kaip jis verti daugiau pinigų";"2017-03-27 07:41:16"
"1651";"5";"5";"1";"salonas dvokia rukalais";"2017-03-26 21:56:08"
"1101";"1";"4";"4";"vairuotojas tarpduryje prispaudė moterį, pasisekė, jog nenuvažiavo taip.";"2017-03-26 21:33:20"
"951";"3";"4";"3";"vairuotojas nespėjus išlipti uždarė duris, nereagavo į stop mygtukų paspaudimus, nors autobusas dar stovėjo";"2017-03-26 18:32:13"
"976";"5";"5";"3";"jauciamas pasalinis (nemalonus) kvapas.";"2017-03-25 21:52:04"
"742";"5";"5";"5";"☺";"2017-03-25 16:40:01"
"1590";"4";"3";"1";"";"2017-03-25 14:37:07"
"1720";"5";"5";"1";"kada pasibaigs vairuotojų rūkymai viešajame transporte?? ar jis skirtas tik rūkantiems? nes kitiems riečia nosį ir skauda galvą nuo to kvapo.
kovokite su tuo kaip nors, prašau.";"2017-03-24 19:21:09"
"872";"2";"4";"3";"Per skubėjimą užkirtinėjo sankryžas, dažnai staiga stabdė, stojo ant pėsčiųjų perėjos trukdydamas pėstiesiems. Labai nemaloni kelionė su šiuo vairuotoju.";"2017-03-24 19:08:54"
"494";"5";"3";"3";"Duris užsidaro labai nesandariai, iš kažkur labai stipriai pučia šaltas oras.";"2017-03-24 18:32:02"
"869";"1";"1";"1";"nemandagus vairuotojas, itin grubiai bendrauja, įžeidinėja ir žemina klientus pasiteiravus bet kokiu klausimu";"2017-03-24 18:22:17"
"188";"5";"5";"5";"";"2017-03-24 18:10:48"
"966";"5";"5";"5";"";"2017-03-24 18:04:09"
"2718";"4";"3";"5";"";"2017-03-24 17:46:40"
"1119";"1";"5";"4";".";"2017-03-24 16:17:07"
"987";"5";"5";"5";"Kelionė nuostabi";"2017-03-24 15:09:26"
"785";"3";"1";"5";"";"2017-03-24 13:51:52"
"2673";"0";"1";"0";"Prieš pat nosį Stotyje uždarė duris ir išvažiavo.";"2017-03-24 13:40:34"
"445";"4";"5";"1";"Autobuse baisi smarve, kaip koks nugaises gyvunas putu autobuso varikli ";"2017-03-24 12:37:13"
"6431645";"5";"5";"5";"";"2017-03-24 11:38:56"
"717";"4";"4";"3";"kiek galima klausyti rusišką muziką ir laidas bei versti tai daryti visus keleivius (kalbu apie vairuotoją)";"2017-03-24 10:12:38"
"989";"1";"1";"0";"Siandien, rinktines stoteleje susisduriau su nemalonia situacija. 33 marsruto autobusas pavaziavo 5 metrus i prieki nuo stoteles ir sustojo prie raudono sviesoforo signalo. Nespejes ilipti stoteleje, as priejau prie vairuotojo labgo ir paprasiau atverti duris, taciau vairuotojas piktai nesutiko. Situacija mate kiti keleiviai atsistojo ir nuejo proe vairuotojo paprasyti atidaryto duris, taciau jis taip pat nesutiko. Suprantu, kad gal but tokios yra taisykles, bet po sios situacijos liko labai nemalonus jausmas.";"2017-03-24 08:21:50"
"428";"5";"5";"5";"";"2017-03-24 08:18:53"
"1117";"1";"4";"4";"";"2017-03-24 07:45:36"
"471";"5";"5";"5";"??";"2017-03-24 07:45:31"
"9305";"5";"5";"5";"puikus vairuotojas už 40 autobuso vairo";"2017-03-24 07:43:08"
"25";"5";"5";"5";"";"2017-03-23 20:35:30"
"550";"2";"0";"0";"Vairuotoja vairavo viena ranka, nes kalbėjo telefonu per ausines ir kita ranka laikė mikrofoną prie savo burnos.";"2017-03-23 20:13:20"
"1707";"1";"5";"5";"vairuotojas ilga dali keliones bendravo su pazystamu pre atviras vairuotojo duris,pazystamas neatrode blaivus";"2017-03-23 18:41:52"
"9316";"5";"5";"5";"Saugiai ir maloniai vairuoja vairuotojas! Ačiū!";"2017-03-23 18:19:37"
"1698";"1";"4";"3";"Vairuotojas labai dažnai bereikalo naudojo garsinį signalą ir garsiai kalbasi telefonu.";"2017-03-23 18:07:24"
"723";"1";"2";"4";"Vairuotoja pamirso kaip uzdaryti abi duris ir teko laukti keleta min, o tai yra labai daug:(";"2017-03-23 17:55:15"
"759";"5";"3";"2";"keleivis gėrė alkoholinį alų - vairuotojas nieko nedarė";"2017-03-23 17:36:32"
"886";"5";"5";"5";"";"2017-03-23 16:57:40"
"886";"5";"5";"5";"";"2017-03-23 16:57:30"
"886";"5";"5";"5";"";"2017-03-23 16:56:24"
"559";"5";"5";"5";"46 marsruto vairuotojas isprase labai nekvepianti zmogu is autobuso. Labai puikiai vairuotojas susitvarke su sia situacija.";"2017-03-23 16:14:56"
"170";"3";"3";"4";"PERPILDYTAS!";"2017-03-23 15:39:40"
"057";"4";"3";"1";"Nelabai patiko";"2017-03-23 13:11:51"
"776";"5";"4";"4";"Be komentarų.";"2017-03-23 10:53:00"
"825";"5";"5";"5";"";"2017-03-23 09:22:42"
"943";"5";"5";"5";"??";"2017-03-23 08:55:32"
"2122";"5";"5";"4";"";"2017-03-23 08:51:06"
"943";"5";"1";"5";"Eilinį autobusas vėlavo 10min. 7:43 autobusas bent jau ne toks prikimštas, kokie būna 7:09 ar 7:21. Manau, dar vienas papildomas maršrutas pagelbėtų, kai autobusas vėluoja, todėl sausakimšas ir net nėra kur įlipti, tad tenka laukti kito autobuso ir vėluoti į darbus. Ačiū už dėmesį.";"2017-03-23 08:15:00"
"963";"2";"3";"3";"";"2017-03-23 07:42:48"
"961";"5";"5";"5";"";"2017-03-23 06:48:39"
"963";"4";"0";"5";"Labai apmaudu, kad visos keliones metu vairuotojo darba trukde jo biciulis, kuris istisai ji kalbino. Ko vertos tos taisykles, kad netrukdyti vairuotojo, kai patys vairuotojai leidziasi trukdomi savo draugu...";"2017-03-22 22:14:04"
"549";"5";"5";"1";"Nesuprantu kas yra 75 autobusams, kurie vaziuoja 20:00 valanda nuo Musninku stoteles link Pilaites... Dvokia slapimu arba ismatu kvapas arba sedynes slapios.. Net baisu pagalvot kas vyksta autobusuose..";"2017-03-22 20:07:36"
"746";"1";"1";"1";"Vairuotojas nepalauke nors pries pat mane uztrenke duris. Nespejau i kita autobusa. Labai prastai.";"2017-03-22 18:41:36"
"624";"5";"5";"1";"autobuse nemalonus kvapas";"2017-03-22 18:40:41"
"4017";"1";"0";"4";"autobusas techniskai netvarkingas - neveikia vidurines durys (uzkistas sketis skersai), del to visi grudasi per galines duris. vairuotojas plepa su draugu, pramiega stabdymo vieta, del ko staigiai stabdo pries sviesoforus ir stotelese - keleiviai griuvineja";"2017-03-22 18:38:37"
"9312";"1";"5";"3";"Už nesaugų vairavimą atidarytomis durimis (1 stotelę) - 1 žvaigždutė.";"2017-03-22 17:51:54"
"338";"5";"5";"5";"Važiavau su vaikišku vežimėliu. vairuotojas pasisteng privažiuoti prie bordiūro ir autobuso šoną pažemino, kad būt patogu įstumti. Ačiū!";"2017-03-22 12:29:39"
"000";"0";"4";"0";"";"2017-03-22 10:54:42"
"792";"0";"1";"0";"Vairuotojas ""laksto"", kaip su lengvuoju automobiliu. Jokio saugumo!!!";"2017-03-22 10:02:17"
"2518";"4";"4";"3";"Nelabai skiriasi per lietu ar lauke stovi, ar troleibuse. Visur lasa.";"2017-03-22 09:44:39"
"2560";"4";"4";"2";"Karbauski, kur musu trispalviai trulikai?";"2017-03-22 09:40:25"
"2560";"1";"1";"1";"";"2017-03-22 09:39:52"
"2478";"5";"4";"1";"Pro visus langus varva vanduo, grindys plaukia.";"2017-03-22 09:21:00"
"1617";"1";"1";"3";"Vairuotoja iš pragaro, sunku išstovėti laikantis. Neveikia komposteris";"2017-03-22 09:15:28"
"716";"1";"3";"2";"Net sedint baisu, kad skrisi is vietos, kai stabdo";"2017-03-22 08:40:10"
"745";"2";"5";"4";"Labai staigiai stabdo, trukcioja (stabdis, atleidzia, stabdis). Per arti privaziuoja prie kitos transporto priemones, o tada staigiai stabdo. Sunku issilaikyti ant koju.";"2017-03-22 08:30:28"
"1107";"4";"5";"4";"Neatsakinga vairuotoja. Kalba mobiliuoju telefonu nenaudodama laisvų rankų įrangos.";"2017-03-22 08:24:06"
"507";"5";"1";"1";"lasa per stoga vanduo ant zmoniu galvu.kadangi autobusas stovi kamsciuose ir neturi atskiros juostos tik A transportui, 15 min kelione truko 25 min.";"2017-03-22 08:14:29"
"1609";"1";"4";"3";"labai staigiai stabdo, galima susizeisti net sedint.";"2017-03-21 21:12:27"
"760";"5";"5";"5";"silts, svatu, tokia tvarka tikrai reta";"2017-03-21 19:57:22"
"871";"1";"3";"3";"uždarė man dar tik įpusėjus lipti į autobusą. susitrenkiau kelią į turėklą ir buvau suspaustas durų";"2017-03-21 19:39:02"
"6";"2";"2";"1";"";"2017-03-21 18:57:20"
"2528";"3";"0";"2";"Troleibuse labai blogas kvapas - panasus i duju. Visi keleibiu langai visiskai aprasoje, matyt, viskskai nera ventiliacijos.";"2017-03-21 17:52:06"
"986";"4";"1";"4";"";"2017-03-21 17:41:25"
"986";"5";"3";"4";"";"2017-03-21 17:32:31"
"167";"1";"1";"1";"Vairuotojas blogai apsikirpes";"2017-03-21 16:58:31"
"951";"5";"5";"5";"";"2017-03-21 16:48:31"
"809";"5";"5";"1";"Lasa is stogo";"2017-03-21 16:17:49"
